From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
;;;;;;;;;
7246;6814;sea;904;-1;-1;-1;-1;VISTULA_SPIT;Mierzeja Wislana
17668;1474;sea;5789;-1;-1;-1;-1;;Kostrzyn
17786;69;sea;6952;-1;-1;-1;-1;;Cedynia
17807;2553;sea;4196;-1;-1;-1;-1;;Krajnik Dolny
1034;17505;sea;4196;-1;-1;-1;-1;;Gryfino
554;7364;sea;7212;-1;-1;-1;-1;;Kralovec
16420;11365;sea;6690;-1;-1;-1;-1;;Rybitwia Melizna, da sie po tym lazic no
2787;670;sea;6899;-1;-1;-1;-1;;Chrzaszczewo
17218;17216;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
4167;17216;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
1235;17216;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
17221;17216;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
17220;4167;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
17212;17220;sea;4836;-1;-1;-1;-1;;Swinoujscie-Archipelag
17221;17212;sea;4836;-1;-1;-1;-1;;Swinoujscie-Archipelag
17221;17220;sea;5963;-1;-1;-1;-1;;Swinoujscie-Archipelag
17217;17222;sea;5997;-1;-1;-1;-1;;SWI
17218;557;sea;5997;-1;-1;-1;-1;;SWI
17219;17218;sea;5963;-1;-1;-1;-1;;SWI-Karsibor
17209;17192;sea;4812;-1;-1;-1;-1;;JOM-Wolin
2882;17203;sea;4581;-1;-1;-1;-1;;JOM-Wolin
8264;606;river;-1;-1;-1;-1;-1;;SLE-TSZ
19271;19270;river;-1;-1;-1;-1;-1;;SLE
19273;19272;river;-1;-1;-1;-1;-1;;SLE
19273;19271;river;-1;-1;-1;-1;-1;;SLE
19274;19276;river;-1;-1;-1;-1;-1;;SLE
19275;19276;river;-1;-1;-1;-1;-1;;SLE
19281;19278;river;-1;-1;-1;-1;-1;;SLE
19282;19292;river;-1;-1;-1;-1;-1;;SLE
19288;19289;river;-1;-1;-1;-1;-1;;SLE
19302;19295;river;-1;-1;-1;-1;-1;;SLE
